ProductId,DepartmentId,RankDate,Rank,SalesDate,UnitSold
4637,2978,2020-12-09,114378,2020-12-09,3
1221269021,2978,2020-12-09,22876,2020-12-09,26
1006209642,7,2020-12-09,79915,2020-12-09,8
19550,2978,2020-12-09,54642,2020-12-09,5
2278912,2978,2020-12-09,1353,2020-12-09,1
20787,2978,2020-12-09,77423,2020-12-09,14
2278921,2978,2020-12-09,1353,2020-12-09,9
20599,2978,2020-12-09,31447,2020-12-09,20
2311118,2978,2020-12-09,66131,2020-12-09,4
51743,2978,2020-12-09,54677,2020-12-09,4
-695605665,7,2020-12-09,284682,2020-12-09,1
2465621,2978,2020-12-09,92160,2020-12-09,7
1005231973,7,2020-12-09,50835,2020-12-09,4
2362418,2978,2020-12-09,94129,2020-12-09,4
2122484,2978,2020-12-09,45352,2020-12-09,14
1224747615,2978,2020-12-09,17060,2020-12-09,2
22624,2978,2020-12-09,29877,2020-12-09,42
1938363,2978,2020-12-09,98739,2020-12-09,1
28021,2978,2020-12-09,16128,2020-12-09,1
1005231963,7,2020-12-09,213482,2020-12-09,1
8371,2978,2020-12-09,52920,2020-12-09,8
27670,2978,2020-12-09,44059,2020-12-09,13
565598651,2978,2020-12-09,76196,2020-12-09,8
1338719,2978,2020-12-09,113140,2020-12-09,4
3037,2978,2020-12-09,193481,2020-12-09,3
1005232255,7,2020-12-09,24132,2020-12-09,1
4472,2978,2020-12-09,69761,2020-12-09,5
1409189,7,2020-12-09,1957,2020-12-09,153
1814278,2978,2020-12-09,46802,2020-12-09,14
18632,2978,2020-12-09,22873,2020-12-09,28
1005232333,7,2020-12-09,199328,2020-12-09,1
1005232272,7,2020-12-09,143150,2020-12-09,1
41986,2978,2020-12-09,24020,2020-12-09,10
1005232134,7,2020-12-09,175731,2020-12-09,2
629,2978,2020-12-09,47829,2020-12-09,16
1005232122,7,2020-12-09,211941,2020-12-09,1
1398009728,2978,2020-12-09,3269,2020-12-09,4
16058,2978,2020-12-09,96862,2020-12-09,2
46775,2978,2020-12-09,99943,2020-12-09,5
1024295,2978,2020-12-09,10642,2020-12-09,47
23069,2978,2020-12-09,134768,2020-12-09,1
2136782,2978,2020-12-09,150504,2020-12-09,2
1005231993,7,2020-12-09,36994,2020-12-09,20
21370,2978,2020-12-09,38700,2020-12-09,22
34660,2978,2020-12-09,111301,2020-12-09,2
259616,2978,2020-12-09,2333,2020-12-09,298
1005231859,7,2020-12-09,24407,2020-12-09,24
23825,2978,2020-12-09,30597,2020-12-09,5
1005231877,7,2020-12-09,88693,2020-12-09,4
1007,2978,2020-12-09,60651,2020-12-09,18
1006209432,7,2020-12-09,116094,2020-12-09,1
26902,2978,2020-12-09,86294,2020-12-09,2
679344,2978,2020-12-09,3153,2020-12-09,272
1813471,2978,2020-12-09,38315,2020-12-09,20
26405,2978,2020-12-09,124973,2020-12-09,5
20027,2978,2020-12-09,173935,2020-12-09,3
2313216,2978,2020-12-09,23879,2020-12-09,13
894,2978,2020-12-09,57717,2020-12-09,13
4459,2978,2020-12-09,61589,2020-12-09,13
2180016,2978,2020-12-09,23134,2020-12-09,57
-341750921,2978,2020-12-09,61993,2020-12-09,13
1224409477,7,2020-12-09,41727,2020-12-09,3
24903,2978,2020-12-09,31824,2020-12-09,2
42252,2978,2020-12-09,39923,2020-12-09,5
1005231874,7,2020-12-09,28894,2020-12-09,5
1005232500,7,2020-12-09,66116,2020-12-09,6
2278934,2978,2020-12-09,1353,2020-12-09,6
1994799800,2978,2020-12-09,82532,2020-12-09,9
2372263,2978,2020-12-09,133241,2020-12-09,10
1814251,2978,2020-12-09,64365,2020-12-09,12
110307,2978,2020-12-09,32038,2020-12-09,25
2451172,2978,2020-12-09,164527,2020-12-09,5
1006209618,2978,2020-12-09,487151,2020-12-09,1
44578,2978,2020-12-09,47448,2020-12-09,8
23950,7,2020-12-09,18384,2020-12-09,24
1813381,2978,2020-12-09,86413,2020-12-09,3
18610,2978,2020-12-09,174292,2020-12-09,1
1214335920,7,2020-12-09,87785,2020-12-09,2
32954,2978,2020-12-09,66598,2020-12-09,26
58376,2978,2020-12-09,17948,2020-12-09,43
22029,2978,2020-12-09,8376,2020-12-09,34
48849,2978,2020-12-09,39926,2020-12-09,14
8584,2978,2020-12-09,16138,2020-12-09,60
37155,2978,2020-12-09,155933,2020-12-09,3
1421759362,2978,2020-12-09,17060,2020-12-09,3
2298222,2978,2020-12-09,19271,2020-12-09,13
-472696409,7,2020-12-09,1385,2020-12-09,1
38021,2978,2020-12-09,21288,2020-12-09,31
162790,2978,2020-12-09,19868,2020-12-09,32
1005232235,7,2020-12-09,83270,2020-12-09,2
45778,2978,2020-12-09,54792,2020-12-09,11
1005231983,7,2020-12-09,89804,2020-12-09,4
311084,2978,2020-12-09,41430,2020-12-09,14
220453,2978,2020-12-09,656438,2020-12-09,1
2282498,2978,2020-12-09,44633,2020-12-09,8
1005232511,7,2020-12-09,12455,2020-12-09,2
18598,2978,2020-12-09,146456,2020-12-09,10
2472275,7,2020-12-09,39729,2020-12-09,2
6012,2978,2020-12-09,42159,2020-12-09,17
23467,2978,2020-12-09,4479,2020-12-09,60
1618856700,2978,2020-12-09,108938,2020-12-09,4
23447,2978,2020-12-09,89400,2020-12-09,8
141380980,2978,2020-12-09,77782,2020-12-09,1
2340614,7,2020-12-09,7039,2020-12-09,5
2340630,2978,2020-12-09,126321,2020-12-09,4
23886,2978,2020-12-09,85511,2020-12-09,2
19584,2978,2020-12-09,14387,2020-12-09,2
30130,2978,2020-12-09,16206,2020-12-09,50
1019375,2978,2020-12-09,164038,2020-12-09,1
1005232194,7,2020-12-09,107870,2020-12-09,4
1005231873,7,2020-12-09,210685,2020-12-09,1
2311124,2978,2020-12-09,25289,2020-12-09,20
147924,2978,2020-12-09,32516,2020-12-09,45
754180,2978,2020-12-09,54391,2020-12-09,11
20116,2978,2020-12-09,72946,2020-12-09,3
1005232112,7,2020-12-09,13160,2020-12-09,2
14179,2978,2020-12-09,43615,2020-12-09,17
2120221,2978,2020-12-09,53550,2020-12-09,5
29750,2978,2020-12-09,298021,2020-12-09,1
770209141,2978,2020-12-09,2922,2020-12-09,22
1005231974,7,2020-12-09,27975,2020-12-09,19
440514,2978,2020-12-09,49555,2020-12-09,2
17066,2978,2020-12-09,92696,2020-12-09,12
1536627550,7,2020-12-09,66446,2020-12-09,12
1221269033,2978,2020-12-09,70085,2020-12-09,1
1005231952,7,2020-12-09,212845,2020-12-09,2
10600,7,2020-12-09,33006,2020-12-09,36
1221269017,2978,2020-12-09,140908,2020-12-09,2
27015,2978,2020-12-09,100947,2020-12-09,2
4996,2978,2020-12-09,16439,2020-12-09,25
672025,2978,2020-12-09,132132,2020-12-09,2
1813541,2978,2020-12-09,20072,2020-12-09,17
52021,2978,2020-12-09,13915,2020-12-09,58
33185,7,2020-12-09,66310,2020-12-09,46
1005232050,7,2020-12-09,25689,2020-12-09,6
1600479,2978,2020-12-09,7211,2020-12-09,67
2311870,7,2020-12-09,42441,2020-12-09,19
32628,2978,2020-12-09,113182,2020-12-09,3
43689,2978,2020-12-09,56542,2020-12-09,3
-684442164,2978,2020-12-09,90515,2020-12-09,7
30087,2978,2020-12-09,25409,2020-12-09,17
2278914,2978,2020-12-09,1353,2020-12-09,4
-472797214,7,2020-12-09,1385,2020-12-09,4
-472775451,2978,2020-12-09,38868,2020-12-09,18
6871,2978,2020-12-09,8119,2020-12-09,144
2385398,7,2020-12-09,64941,2020-12-09,2
1005232533,7,2020-12-09,212998,2020-12-09,1
1398009743,2978,2020-12-09,1801,2020-12-09,22
2094722,2978,2020-12-09,95604,2020-12-09,1
19188,2978,2020-12-09,67720,2020-12-09,12
2065989989,7,2020-12-09,2731,2020-12-09,10
4864,2978,2020-12-09,84080,2020-12-09,2
9878,2978,2020-12-09,14148,2020-12-09,18
518349626,2978,2020-12-09,132698,2020-12-09,2
53971,2978,2020-12-09,131401,2020-12-09,2
43801,2978,2020-12-09,246917,2020-12-09,2
2151939,2978,2020-12-09,110392,2020-12-09,3
23468,2978,2020-12-09,4479,2020-12-09,4
1398009734,2978,2020-12-09,70085,2020-12-09,3
34161,2978,2020-12-09,14581,2020-12-09,22
1606026315,2978,2020-12-09,158304,2020-12-09,2
1547521923,7,2020-12-09,321092,2020-12-09,1
2007743374,2978,2020-12-09,51907,2020-12-09,6
114486,2978,2020-12-09,79554,2020-12-09,1
1005231793,7,2020-12-09,17854,2020-12-09,12
1005232211,7,2020-12-09,79485,2020-12-09,4
2096692,7,2020-12-09,27716,2020-12-09,16
51890,2978,2020-12-09,16439,2020-12-09,7
2311869,7,2020-12-09,115500,2020-12-09,1
550355,2978,2020-12-09,9368,2020-12-09,38
2118599,2978,2020-12-09,55538,2020-12-09,6
4235,2978,2020-12-09,327298,2020-12-09,1
30024,2978,2020-12-09,22084,2020-12-09,14
1814076,7,2020-12-09,151210,2020-12-09,8
1224269532,2978,2020-12-09,17060,2020-12-09,4
565433709,2978,2020-12-09,68520,2020-12-09,2
1844676,2978,2020-12-09,111756,2020-12-09,2
1764614743,7,2020-12-09,21945,2020-12-09,12
2340621,7,2020-12-09,7065,2020-12-09,6
1005231789,7,2020-12-09,42729,2020-12-09,1
8382,2978,2020-12-09,35004,2020-12-09,16
1197065526,7,2020-12-09,96636,2020-12-09,4
24315,2978,2020-12-09,21530,2020-12-09,29
1224806402,2978,2020-12-09,176510,2020-12-09,1
840330824,2978,2020-12-09,149619,2020-12-09,2
2340729,7,2020-12-09,16640,2020-12-09,22
703078285,7,2020-12-09,6725,2020-12-09,56
866,2978,2020-12-09,60843,2020-12-09,7
11074,2978,2020-12-09,138112,2020-12-09,1
21843,2978,2020-12-09,104062,2020-12-09,4
1398009736,2978,2020-12-09,23203,2020-12-09,6
9061,2978,2020-12-09,82299,2020-12-09,10
37354,2978,2020-12-09,17590,2020-12-09,23
591705,2978,2020-12-09,88262,2020-12-09,2
27064,2978,2020-12-09,80464,2020-12-09,6
10303,2978,2020-12-09,48675,2020-12-09,11
14777,2978,2020-12-09,180621,2020-12-09,4
18315,2978,2020-12-09,126177,2020-12-09,3
214495,2978,2020-12-09,42225,2020-12-09,16
1005232206,7,2020-12-09,113916,2020-12-09,3
1421759368,2978,2020-12-09,49019,2020-12-09,1
-277112990,7,2020-12-09,716144,2020-12-09,1
52954,2978,2020-12-09,37373,2020-12-09,8
5813,2978,2020-12-09,30612,2020-12-09,12
29022,2978,2020-12-09,123998,2020-12-09,22
47891,2978,2020-12-09,1136,2020-12-09,22
30509,2978,2020-12-09,339585,2020-12-09,1
2380871,2978,2020-12-09,297454,2020-12-09,4
1380346,2978,2020-12-09,41531,2020-12-09,34
1005231830,7,2020-12-09,16397,2020-12-09,35
1877079119,7,2020-12-09,74511,2020-12-09,9
8826,2978,2020-12-09,134600,2020-12-09,2
451,2978,2020-12-09,22519,2020-12-09,20
50599,2978,2020-12-09,36465,2020-12-09,4
49068,2978,2020-12-09,46654,2020-12-09,4
37870,2978,2020-12-09,390153,2020-12-09,1
2180026,2978,2020-12-09,57968,2020-12-09,1
168984,2978,2020-12-09,98457,2020-12-09,4
3024,2978,2020-12-09,36610,2020-12-09,4
33827,2978,2020-12-09,101403,2020-12-09,5
-339881018,2978,2020-12-09,49616,2020-12-09,3
2298228,2978,2020-12-09,19271,2020-12-09,2
2340770,7,2020-12-09,21016,2020-12-09,31
